"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"DeKalb, GA",49.98,0.058,"Summer","1",31.8781044364951,52.7715778452436,6.22286389151994,52.4819799175034,76044,1.51898289607699,761209,1.69879625179043
"DeKalb, GA",49.98,0.041,"Winter","0",31.8781044364951,52.7715778452436,6.22286389151994,52.4819799175034,76044,1.51898289607699,761209,1.69879625179043
"Durham, NC",12064,0.055,"Summer","1",47.62673753695,34.2902667171125,5.21345674113583,44.4519822622278,74927,1.06149746436454,325101,4.0814913285257
"Duval, FL",9270493.002,0.051,"Winter","0",54.6834011577691,29.1837566836864,4.71935547369309,49.7334158474758,65579,1.58381549584482,995708,6.96710283040717
"Duval, FL",9270493.002,0.045,"Summer","1",54.6834011577691,29.1837566836864,4.71935547369309,49.7334158474758,65579,1.58381549584482,995708,6.96710283040717
"Escambia, FL",2402200.507,0.05,"Winter","0",65.2806135152632,21.6641352522285,3.01715552014342,48.3406937357973,61642,1.86822826525048,321296,6.38060925429479
"Escambia, FL",2402200.507,0.048,"Summer","1",65.2806135152632,21.6641352522285,3.01715552014342,48.3406937357973,61642,1.86822826525048,321296,6.38060925429479
"Etowah, AL",3822,0.053,"Summer","1",77.9453883964857,15.2146146998491,0.723768239346673,41.520750701364,52177,1.45136758526462,103348,3.58229068271899
"Forsyth, NC",78088.001,0.057,"Summer","1",60.4502018298896,25.8013910496457,2.43238242659724,44.2414573898724,61229,1.21492396927418,383739,4.89258430532626
"Fulton, GA",42519.998,0.064,"Summer","1",41.0040454110575,43.3913652697317,7.59333825512456,46.9534067344486,86267,1.54439554979861,1061944,4.62859323542348
"Glynn, GA",469177.998,0.039,"Summer","1",66.6390748054774,24.7167892533642,1.19906345339735,41.7628262027339,65970,2.45064870112677,84566,5.6713376377759
"Greenville, SC",7669,0.058,"Summer","1",69.6930057870217,17.2219266977251,2.5239895428499,45.7191387779461,71328,1.66913082543773,528251,3.88473873776963
"Greenville, SC",7669,0.041,"Winter","0",69.6930057870217,17.2219266977251,2.5239895428499,45.7191387779461,71328,1.66913082543773,528251,3.88473873776963
"Guilford, NC",17132.001,0.063,"Summer","1",50.9964656190171,34.2473547743797,5.18944245000992,46.8063119027438,62880,1.42182544343945,539557,4.23380809107443
"Gwinnett, GA",51496.001,0.06,"Summer","1",39.4251636521545,28.4580945054004,12.7460262615908,54.1947826742564,82296,1.10922065219784,957977,4.71177350455447
"Harrison, MS",2595782,0.055,"Summer","1",64.7416981240539,24.8155670952536,2.34253741353211,46.7093066370041,55211,1.1896596874961,208748,6.41426821656727
"Haywood, NC",312129,0.057,"Summer","1",92.441112112241,0.825395803835758,0.416720298622731,44.486065328139,56596,2.23178882972697,62152,5.49433412097189
"Hillsborough, FL",11117690,0.051,"Summer","1",58.8714114506728,16.4318788473062,4.27520836738029,51.434493783785,70612,1.39650338410986,1468560,7.04601456022544
"Hillsborough, FL",11117690,0.049,"Winter","0",58.8714114506728,16.4318788473062,4.27520836738029,51.434493783785,70612,1.39650338410986,1468560,7.04601456022544
"Hinds, MS",3069671,0.062,"Summer","1",24.0084576301861,72.8865856511625,0.747767512282545,49.9973558963511,48596,1.94340570407992,226541,6.48709183132696
"Hinds, MS",3069671,0.047,"Winter","0",24.0084576301861,72.8865856511625,0.747767512282545,49.9973558963511,48596,1.94340570407992,226541,6.48709183132696
"Horry, SC",7646,0.043,"Summer","1",79.0912507221421,12.3524165820662,1.30742782785253,47.0619885028177,59880,1.82184670922793,356578,3.88343429368301
"Jackson, MS",11971245,0.055,"Summer","1",69.0803709965837,20.4333395954662,2.37613153262223,45.0916598886317,60045,1.63075867299948,143721,7.0781393190374
"Jefferson, AL",21067499,0.043,"Winter","0",50.3334250630332,42.7216945698497,1.74217012636386,47.9829837171776,63595,1.95828348269713,672265,7.32361298197885
"Jefferson, AL",21067499,0.07,"Summer","1",50.3334250630332,42.7216945698497,1.74217012636386,47.9829837171776,63595,1.95828348269713,672265,7.32361298197885
"Johnston, NC",8390,0.054,"Summer","1",69.8423133462989,16.5196628957004,0.690735110161522,41.8624703599914,75288,1.32515399246728,219042,3.9237619608287
"Knox, TN",28582,0.062,"Summer","1",82.9179528298359,8.24646971579083,2.270640581962,44.4073504648949,68580,1.24973055090792,481406,4.4560926148879
"Lake, FL",101724,0.05,"Summer","1",73.8111672082496,10.1463437332775,2.09808468341308,51.4423474307756,66239,1.67341711254283,386829,5.00742342920493
"Lake, FL",101724,0.048,"Winter","0",73.8111672082496,10.1463437332775,2.09808468341308,51.4423474307756,66239,1.67341711254283,386829,5.00742342920493
