"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/05/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/06/2022","AQS","130210012","1","0.037","ppm","34","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/07/2022","AQS","130210012","1","0.038","ppm","35","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/08/2022","AQS","130210012","1","0.03","ppm","28","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/09/2022","AQS","130210012","1","0.04","ppm","37","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/10/2022","AQS","130210012","1","0.053","ppm","49","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/11/2022","AQS","130210012","1","0.054","ppm","50","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/12/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/13/2022","AQS","130210012","1","0.041","ppm","38","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"06/14/2022","AQS","130210012","1","0.034","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
